stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,8.17,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,1.07,0,0,0,0,1.07,0,2.14,0,0
21Day,2.68,0,0,0,0,1.34,4.02,1.34,2.68,0,2.68
3Month,0,0,0,0,0,0,0.32,0,0,0,0
22Month,0,0,0.55,2.19,0.55,0,0.55,0,0,1.09,0
