stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,5.35,3.21,1.07,2.14,0,0,0,0,0,0,0,0,3.21,0,17.12,0,1.07,350.89,13.91,0,2.14,5.35,0,0,0,0,0,0
21Day,4.02,4.02,0,1.34,0,0,0,0,0,0,0,0,4.02,1.34,6.69,0,1.34,77.63,4.02,2.68,1.34,9.37,1.34,0,0,0,0,1.34
3Month,0,9.6,0,0,0.32,0.96,0.32,0,3.2,0,0,0.96,2.24,0.32,0.96,0.64,0,0,0,0.32,0.32,0,0.32,2.88,0.32,0.64,1.28,0.32
22Month,0,10.93,0,0,0,1.64,0,0,7.11,1.09,1.64,0,0.55,1.09,2.19,0,0.55,1.09,0,0.55,0,0,0,0.55,0,0,0,0.55
