stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,4.09,416.81,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,1.07,1.07,3.21,0,0,0,123.03,29.95,1.07,0,2.14,0,1.07,2.14,1.07,0,0
21Day,2.68,0,1.34,0,2.68,0,0,1.34,1.34,0,0,0,4.02,0,1.34,0,100.39,12.05,0,1.34,0,1.34,2.68,1.34,4.02,0,1.34
3Month,0,0.96,1.6,0,0,0.64,3.52,0,0.32,0.32,0,0.32,1.28,0.32,0,0.32,0.96,0,0.32,0.32,0,0.32,0,0.32,0,0.32,0.32
22Month,0,0,0,0,0,0,9.29,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
