stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,3.21,0,1.07,0,0,0
21Day,0,0,0,1.34,1.34,1.34,0,0,0,0,1.34,0,1.34,0,0,0,26.77,0,0,0,0,1.34,0,0,5.35,1.34,0,0
3Month,0,0.64,0,2.88,0,0,0,0.32,5.12,0,2.24,0.64,0.96,0,0,5.44,54.39,2.24,0,0,1.6,0,0,0.32,0,0.32,5.12,2.24
22Month,0,0.55,0.55,1.09,0,0,0.55,0,2.73,0.55,9.84,0,0.55,0.55,0,1.64,107.69,0,1.64,1.09,0.55,2.19,0,0.55,0,0.55,1.09,0
