stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0,73.56,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,4.28,0,1.07,0,0,7.49,13.91,0,1.07,0,5.35,0,0,1.07,0,0,0
21Day,1.34,0,0,16.06,4.02,0,2.68,0,0,0,0,0,1.34,0,0,0,0,4.02,0,0,0,0,1.34,6.69,0,0,0,4.02,1.34,0,0,0,0,0
3Month,1.92,5.76,1.92,39.03,0,0.64,0.96,1.28,4.16,0,77.43,3.2,2.88,9.6,3.2,7.36,4.16,11.2,1.6,0,1.6,2.24,0.32,0.64,0.64,2.88,0,0.64,0.64,7.68,0.32,4.16,0.32,8.96
22Month,0,6.01,4.92,30.61,0,2.19,2.73,6.01,21.87,11.48,331.27,1.09,10.39,18.59,3.83,6.01,26.24,14.21,0,4.37,0.55,0,0.55,0.55,1.09,5.47,1.09,0.55,0,0.55,1.64,0,0,1.64
