stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,12.26,0,0,0,4.09,73.56,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,0,0,0,16.05,12.84,0,0,0,0,1.07,0,1.07,0,0,0,0
21Day,0,0,0,0,1.34,9.37,0,2.68,0,0,1.34,0,0,0,1.34,0,0,0,0,6.69,0,0,0,2.68,4.02,0,2.68,0,0,1.34,0,0,0,0,0,0
3Month,0,0.32,0,12.48,0,0,0.32,0,0.96,1.28,0,0,9.6,0.32,0.64,3.84,0.64,1.92,0.96,5.44,0.32,0.64,0.32,0,1.28,0.96,0,0,5.76,0,0,0,0.32,0.32,0.32,1.28
22Month,0.55,1.64,0.55,3.83,0,0,0,0,1.09,3.28,0.55,0,18.59,1.09,0.55,3.28,1.09,0.55,2.19,2.73,0,1.09,0,0.55,0,1.09,0,0.55,1.64,0.55,0.55,0,0,0,0,0
