stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,0,0,0,8.17,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,11.77,0,0,0,0,0,0,0,0,0,0,0,22.47,46,0,0,0,3.21,0,3.21,10.7,5.35,0,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,1.34,74.96,0,1.34,0,1.34,0,0,0,1.34,0,1.34,4.02,30.79,17.4,6.69,5.35,0,0,0,1.34,1.34,2.68,0,1.34,0,1.34,0,0,0,1.34,0,0,0
3Month,0,0.32,0.64,54.71,0.32,0,0.96,0,3.2,0.96,0,31.99,0.96,0.32,44.79,12.48,12.8,2.88,1.28,0.32,0,0.32,3.2,0.32,0.32,1.28,0,0,0,0.96,0.32,8.96,0,0.64,6.4,1.28
22Month,0.55,1.09,3.83,36.08,0,0,1.09,0,9.84,2.73,3.28,179.85,1.09,0,80.9,8.75,4.37,14.76,4.37,0,1.64,1.64,0,0,0,2.19,2.19,0.55,0,0,0,7.11,0,0.55,0,0
