stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,20.43,0,0,0,0,0,0,0,0,0,0,12.26,32.69,28.6,0,0,0,0,8.17,310.57,0,16.35,0,0,0,0,0,0
72hpf,1.07,0,5.35,1.07,0,0,0,0,0,0,0,0,1.07,3.21,0,10.7,0,1.07,0,0,22.47,47.07,0,6.42,1.07,0,1.07,0,0,0
21Day,1.34,2.68,4.02,6.69,5.35,0,0,0,0,0,10.71,0,1.34,4.02,0,2.68,0,0,1.34,0,4.02,13.39,1.34,2.68,1.34,0,1.34,0,0,0
3Month,0,0.32,6.08,0,0.96,0.96,3.84,0,1.28,6.72,1.92,2.24,0.96,1.28,4.48,4.16,0.96,0,0,0.64,0.96,1.92,0.64,0.32,0,35.83,0.64,0.96,27.52,9.6
22Month,0,0,1.09,0,1.09,0,2.19,0.55,3.28,0,3.28,2.19,0.55,0,4.92,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0,0,3.83
