stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,98.07,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,94.14,0,0,0,12.84,0,0,20.33,3.21,0,3.21,0,0,0,1.07,0,0,0
21Day,0,0,5.35,5.35,0,1.34,0,0,8.03,0,0,41.49,0,4.02,0,6.69,1.34,10.71,1.34,0,5.35,0,6.69,0,0,1.34,2.68,0,0,4.02,0,0,0
3Month,0,1.6,1.92,27.84,0,0,0.64,0.96,21.12,1.28,0,480.56,1.6,8.64,0.32,2.24,2.56,40.63,1.92,1.6,1.92,1.28,0.32,0,1.28,1.28,5.44,5.44,1.28,0,0.64,0.96,1.28
22Month,1.64,2.19,1.64,36.08,0,0,2.19,0,6.56,3.28,0.55,803.04,0.55,7.65,0.55,0,3.28,117.53,2.73,45.37,1.64,0,0,0.55,0.55,0.55,2.19,13.12,0.55,0.55,0,0,1.64
