stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,5.35,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,1.34,0,0,1.34,1.34,1.34,0,0,2.68,0,0,0,0
3Month,1.28,0,6.72,0.32,1.6,0,2.24,0.96,0.32,2.24,1.28,1.92,2.24,3.84,0.96,4.16,0,4.16,0.32,0.96,0.32
22Month,0.55,0.55,0.55,0,1.09,1.09,6.56,0,0.55,2.73,0,0,0,1.64,0,0.55,0,0.55,0,0,0
