stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,4.09,8.17,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,73.56,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,1.07,2.14,3.21,0,0,0,0,2.14,1.07,8.56,1.07,0,0,51.35,10.7,5.35,0,0,0,1.07,0,0,0
21Day,1.34,1.34,6.69,1.34,5.35,5.35,0,0,0,2.68,2.68,13.39,0,2.68,0,22.76,18.74,4.02,1.34,0,2.68,0,4.02,0,4.02
3Month,0,0,0.32,0,0,0,0,0,0.32,0,0,0,0,0,0.32,0,0,0,0.32,0.64,0.32,0,0,0.32,0
22Month,0,0,1.09,0,0,0,3.28,0.55,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0
