stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,1.34,1.34
3Month,0.32,0.64,0.32,0,0,0.32,0,0
