stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0
21Day,0,0,2.68,0,2.68,0,0,0,1.34,0,1.34,17.4,0,0,0,0,1.34,0,0,0,0
3Month,0,0,0.32,0.32,0.64,0,0.96,0.32,0,0.96,0,0.32,0,0.32,0.32,0.32,0,0.32,0.32,0,0.32
22Month,0.55,0.55,1.09,0,2.19,0.55,4.37,1.09,0,6.01,0.55,0,0.55,1.09,0,0,0,0,0,0.55,0
