stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,8.56,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,2.68,0,57.56,2.68,0,1.34,0,0,0,0,0,2.68,0,4.02,46.85,112.44,0,0,1.34,0,2.68,1.34,1.34,0,1.34,4.02,0,1.34,0,0
3Month,0,0,47.67,0,0.32,39.35,0.96,0,0,2.88,1.6,0.32,1.28,7.04,1.6,8.96,0.64,0,0,0.64,0,0,0,0.32,0.32,0.32,2.24,0,1.28,0.64
22Month,0,1.64,13.67,0,0,9.29,0,0.55,0,7.65,0,0,0,2.19,0,7.11,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0
