stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.07,0,0,0,2.14,0,0,0
21Day,0,2.68,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0.32,0.32,0.32,0.32,0.64,0,0,0,3.2,0.64,0.32
22Month,0.55,0,3.28,0,0,0.55,0.55,1.64,0,0,0,0
