stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,114.42,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,1.07,2.14,0,0,48.14,0,0,0,0,0,0,3.21,2.14,5.35,0,0,0,0,11.77,4.28,0,0,0,4.28,0,0,1.07,0,0,0,0
21Day,0,0,0,10.71,0,4.02,0,0,64.25,0,0,9.37,4.02,0,0,2.68,8.03,2.68,0,0,0,0,1.34,4.02,0,0,0,4.02,0,5.35,0,0,0,0,8.03
3Month,0.32,1.92,1.6,155.18,0,0,2.56,3.84,430.01,0,33.27,302.99,1.28,10.24,3.84,16.96,10.88,8,1.28,0.32,8.32,6.08,7.68,0.64,2.24,0,0,0.64,5.44,62.71,0,0,2.56,7.04,19.84
22Month,1.64,6.56,1.09,78.72,0,0,9.84,2.19,1466.13,3.83,77.62,555.4,2.19,10.39,2.73,14.76,14.76,5.47,0.55,3.28,3.83,0.55,4.37,1.09,3.28,3.83,1.64,0,0.55,38.27,1.09,1.09,1.09,0,4.37
