stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,2.68,1.34,0,0
3Month,0,0,0.32,0,0,0.64,0,0.32,0,0,0.96,0.32
22Month,0,0.55,0,0.55,8.75,2.19,0,0,0,0,0,0
