stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,4.09,0
72hpf,0,0,0,4.28,1.07,0
21Day,1.34,1.34,1.34,2.68,0,1.34
