stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,4.28,44.93,0,4.28,0,0,0,0,4.28,4.28,0,0,0,1.07,0,1.07,0,1.07,0,0,0
21Day,2.68,0,0,49.53,1.34,0,0,0,1.34,0,2.68,1.34,8.03,202.12,1.34,2.68,0,0,0,0,9.37,2.68,0,0,4.02,0,1.34,0,1.34,0,0,0,1.34
3Month,0.32,0.96,0.96,53.43,0,6.08,2.56,0,7.68,2.56,0.96,12.8,6.4,3.2,1.92,2.88,0.96,0,0.32,0.96,0.32,0,0,0.32,0.32,0.32,37.11,0,0,0,0.96,50.55,3.84
22Month,0,0.55,8.2,27.33,0,8.2,1.64,1.09,33.89,1.64,0.55,43.19,2.73,2.73,3.28,4.37,0.55,1.64,0.55,0,0,0,2.19,1.09,0,0.55,7.11,0,0,0,0,0.55,2.73
