stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
72hpf,1.07,0,0,0,0,0,0
21Day,1.34,2.68,0,0,1.34,1.34,0
22Month,0,0,0.55,1.09,0.55,0,0.55
