stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,4.09,0,4.09,12.26,0,0,49.04,0,0,0
72hpf,0,0,1.07,3.21,1.07,7.49,12.84,1.07,1.07,1.07
21Day,0,1.34,2.68,1.34,0,4.02,6.69,0,0,0
