stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,3.21,2.14,1.07,0,0,0,0,0,0,3.21,0,117.68,8.56,2.14,0,0,0,1.07,0
21Day,0,2.68,0,4.02,2.68,0,0,0,1.34,0,2.68,1.34,58.9,0,4.02,1.34,0,1.34,0,0
3Month,0,0.32,0,0,0,0,0.64,0,0,0.32,3.2,0,0.32,0,0,0,0,0,0,0
22Month,0.55,0,0,0,0,0.55,4.92,0.55,0,0,0,0,0,0,0,0,0.55,0.55,0,0.55
