stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,12.26,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,0,0,1.07,9.63,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,9.37,1.34,2.68,0,0,0,0,0,1.34,1.34,0,5.35,1.34,1.34,0,0,0,0,0,0,1.34,0,1.34,0,0,0
3Month,0.32,14.72,0,0.32,1.6,0.32,0,4.8,0.96,0,5.44,2.88,3.52,0.32,0.64,0.32,0.32,0.64,0.64,0,0,0.32,1.92,0,0.32,0.64,0.32
22Month,0,1.64,0,0,0,0,0,16.4,0,0,4.37,1.09,0,0.55,0,0,0,0.55,0.55,0.55,0,0,3.28,0,0,0,0
