stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,4.09,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,4.28,0,0,0,0,0,0,0,0,0,3.21,3.21,0,7.49,0,0,1.07,24.61,6.42,0,0,2.14,0,0,0,4.28,1.07,0,0,0
21Day,0,0,0,1.34,1.34,2.68,0,0,0,0,0,0,1.34,0,0,1.34,0,10.71,0,0,0,6.69,2.68,0,0,1.34,1.34,0,0,0,0,1.34,0,0
3Month,0,0.96,0.32,20.16,0,0,0.32,0.64,1.6,0.32,8.64,2.56,0,2.56,4.8,2.88,3.52,2.24,0.96,0.64,3.2,3.52,0.32,1.92,0.32,0.32,1.28,0.32,8,0,0,0,406.34,0.96
22Month,0,0,0,5.47,0,0,0.55,0,2.19,1.09,9.84,0,0,1.09,0,0,0,1.09,0,0,0,0.55,0,1.09,0,0,0,0,4.92,0,0,0,1.09,0
