stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,33.16,5.35,1.07,0,0,0,0,0,2.14,1.07,0,1.07,0,0,0
21Day,0,1.34,2.68,1.34,0,0,0,0,0,0,0,0,0,2.68,0,54.88,2.68,0,1.34,0,0,0,0,1.34,2.68,16.06,1.34,0,0,1.34
3Month,0,3.52,0,0,0.32,0.64,0,5.44,0.96,0,1.92,0.96,0,0.96,0,0.32,0,0,0,0,0,0.32,2.24,0,0,0,0,0.64,0.64,0.64
22Month,2.19,3.83,0,0,0.55,3.83,1.09,46.47,1.09,1.09,2.73,0,5.47,3.28,0.55,0,0,1.09,0.55,0.55,0.55,0.55,3.28,0,0,0,0,0,0,0.55
