stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,36.78,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,1.07,1.07,0,0,0,0,0,0,0,0,4.28,0,0,1.07,24.61,19.26,0,4.28,0,0,1.07,0,0,3.21,0,0,0,0,0,0
21Day,16.06,0,0,22.76,2.68,6.69,0,1.34,0,0,2.68,0,0,0,50.86,0,5.35,8.03,48.19,84.33,0,108.42,0,5.35,2.68,0,0,40.16,2.68,0,4.02,0,0,82.99
3Month,4.8,2.88,0.32,27.2,0,0,0.96,4.16,0.96,1.6,6.4,0.32,13.12,14.08,7.04,3.2,1.92,23.04,26.56,31.67,1.6,19.52,2.24,2.24,0.64,1.28,0,3.2,2.56,3.2,0,0.96,1.28,341.39
22Month,3.28,3.28,0,3.28,0,0,1.09,0.55,0.55,0,3.83,10.93,23.51,2.73,3.28,1.09,1.09,3.28,30.07,9.84,0,18.04,0,0,0,0,0.55,1.64,1.09,0.55,0,0,0,80.36
