stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,8.17,0,0,0,0,0,0,0,0,0,8.17,0,8.17,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0.32,0,0,0.32,0,0.32,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,3.2,0,0,0,1.28,0
22Month,0,4.37,1.09,4.37,0.55,0.55,6.56,1.09,49.2,3.83,0.55,4.37,0.55,1.09,1.64,10.39,3.83,2.73,1.09,0,0.55,2.19,286.45,0.55,0,0.55,0.55,2.19,0,1.09
