stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,2.14,0,1.07,0,88.79,1.07,2.14,0
21Day,0,0,0,0,1.34,0,0,0,1.34,0,1.34,65.59,1.34,0,1.34
3Month,0,0,0,0,0,0,0.96,0.32,0.32,0,0,1.28,0,0,0
22Month,0,0,1.64,0,0,1.09,5.47,0,0.55,1.09,0,1.64,0,0,0
