stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.88,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,16.05,0,0,0,0,0,1.07,67.4,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,1.34,1.34,0,0,36.14,0,0,8.03,1.34,0,0,32.12,0,0,0,0,0,2.68,0,0,0,1.34,0,0,0,0,0,1.34
3Month,0.32,1.92,0.32,8.64,0,2.56,2.88,414.01,0,11.2,212.45,7.68,0.96,2.56,33.59,1.6,0.32,0,1.6,0.96,0.32,0,0,0.32,5.12,0.96,3.2,0.32,2.88,1.6,2.88
22Month,0,0.55,0,0,0,4.37,0,314.33,0.55,5.47,26.24,2.19,0,0.55,50.84,0,0,1.64,0,0,0,0,0.55,0,0,0,0,0.55,1.09,0,0
