stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,4.09,0,20.43,0,0,0,0,0,0,0,0,0,0,0,65.38,1315.82,0,0,0,0,0,0,0,0
72hpf,18.19,2.14,0,6.42,1.07,12.84,0,0,0,2.14,12.84,0,22.47,3.21,1.07,2134.23,359.45,3.21,29.95,0,7.49,19.26,14.98,2.14,0
21Day,5.35,1.34,4.02,9.37,0,12.05,1.34,5.35,1.34,2.68,5.35,1.34,5.35,0,0,508.64,45.51,1.34,2.68,12.05,4.02,34.8,123.15,0,2.68
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0,0,1.09,0,0,0,0
