stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,6.42,2.14,1.07,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,2.68,1.34,0,1.34,0,13.39,1.34,1.34,1.34,0,0,0,0
3Month,0.32,0,1.28,0,0.32,0.32,0.96,0,0.64,0.64,0.32,0,0,0.32,0.32,0,0,0,1.6,0.32,0.32,0
22Month,1.09,0.55,1.09,0.55,0,0,8.2,0.55,1.09,0,0,0.55,2.19,0,0,0,0,0,0,0,0,0.55
