stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,2.68,0,40.16,0,0,0,0,0,0,0,0,2.68,0,5.35,18.74,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68
3Month,0.32,1.6,0.64,57.27,0,0.32,0.96,5.44,1.28,0,5.44,4.8,2.24,2.56,4.48,13.44,3.52,6.4,1.6,0,3.2,1.6,0.96,0.64,0.64,0.64,0.32,0,0.96,0.64,0.32,7.04
22Month,0,8.2,0.55,31.16,0.55,0,1.09,4.92,16.4,24.05,20.77,3.83,3.83,8.2,1.09,4.92,13.67,6.01,0,1.64,2.19,0,2.19,0.55,3.83,0,0,0,0.55,1.09,0,2.19
