stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,20.43,0,0,0,8.17,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,10.7,0,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,39.58,0,1.07,0,21.4,4.28,0,2.14,49.21,0,0,2.14,2.14,0,0,0
21Day,1.34,17.4,0,0,0,4.02,0,2.68,0,0,0,0,0,0,0,2.68,0,64.25,0,5.35,0,4.02,2.68,0,2.68,30.79,0,0,4.02,0,0,0,0
3Month,0.32,13.44,0.32,3.52,0,0,0.64,0.32,0.32,3.2,0,0,5.76,0.96,1.92,0.32,4.8,17.28,10.24,1.92,0.32,0,0.32,0,1.92,0,0.64,2.88,0.32,0,8.64,0.96,1.28
22Month,0,16.95,0,1.09,0,0,0,0.55,0.55,1.64,6.01,0,18.59,1.64,2.19,0,4.92,10.39,1.09,0,0,0,0,1.09,1.64,0.55,0.55,0,0,0,0,0,1.09
