stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,12.26,0,0,36.78,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,1.07,0,0,0,4.28,2.14,1.07,1.07,0,0,0
21Day,0,1.34,2.68,1.34,0,2.68,1.34,1.34,0,1.34,1.34,0,1.34,0,0,1.34
3Month,0,1.28,0,0.32,2.24,0.32,0,0.64,0.32,0,0,0,0,0.32,0.32,0
