stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,1.34,1.34,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.96,0.64,8.64,0.64,0,6.72,6.08,0,23.04,0.96,0.32,15.36,0.32,4.8,3.84,3.52,0,0.96,0.32,1.28,0.64,1.28,2.24,1.28,0.32,2.56
22Month,2.73,1.64,3.83,0,0.55,1.64,3.83,1.09,38.81,1.09,0.55,8.75,0,1.09,4.37,3.28,0.55,0,0,0,0.55,0,2.73,0.55,0,0.55
