stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,4.09,0,4.09,0,4.09,57.21,0,0,4.09,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,1.07,2.14,0,6.42,13.91,0,0,2.14,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,2.68,0,0,2.68,0,0,1.34,0,0,1.34,0,0,1.34
3Month,0,1.28,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0,0,0.32,0.32,0,0.32,22.4,0,0.32,7.36,4.16
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
