stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,2.68,1.34,0,0,0,0,0,1.34,0,0,13.39,1.34,0,0,0,1.34,0,0,0
3Month,0.32,3.84,0.32,0.32,0.96,0,3.52,0.32,0,0.64,0.32,2.56,0.64,0.64,1.6,0,0,1.92,0.32,0.64
22Month,0.55,4.92,0.55,0,1.64,0.55,7.11,0,0,0.55,0,1.09,0,0,0,0,0,0,0,0
