stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,1.07,1.07,0,2.14,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,0,1.07,1.07,0,0,0,2.14,0,1.07,0,0,0,0
21Day,0,2.68,0,1.34,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0,2.68,0,0,1.34,0,0,0,0,0,0,0,0,8.03,0,0,1.34,1.34
3Month,0.32,2.88,0.64,12.48,0,0.64,0.32,0.32,3.84,4.48,0,25.6,8.64,0.64,6.08,2.56,2.56,2.24,2.88,0.32,0.32,1.6,1.28,1.28,0,1.28,0.64,0,0.32,2.56,309.07,0,3.2,500.08,2.88
22Month,0,7.11,1.09,5.47,0,0,1.09,0.55,1.64,4.37,0.55,69.97,3.28,2.73,1.09,0,0,1.09,2.73,0,1.64,0,0.55,0.55,0,0,0.55,28.43,0,0,124.09,0.55,0,1.64,0
