stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,4.09,8.17,0,0,0,4.09,32.69,16.35,0,130.76,4.09,0,0,0,0
72hpf,2.14,0,2.14,0,0,0,1.07,0,3.21,2.14,8.56,0,0,1.07,0,0
21Day,0,0,0,0,4.02,0,0,1.34,1.34,0,1.34,0,0,0,0,1.34
3Month,0,0,0.32,0.32,0,0.32,0,0.32,0,0,0,0,5.44,0,0.32,0
