stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,4.09,0,0,0,0,0,0,4.09,0,0,0,0,28.6,12.26,4.09,0,0,0,0,8.17,0
72hpf,0,0,1.07,1.07,0,0,0,0,0,0,0,0,13.91,1.07,2.14,1.07,0,0,3.21,4.28,0
21Day,1.34,1.34,4.02,0,1.34,1.34,0,0,0,0,1.34,1.34,2.68,5.35,4.02,0,1.34,0,1.34,1.34,1.34
3Month,0,0,0,0,0,0,1.6,0,0.32,0.96,0,0.32,0,1.6,0.32,0,0,0.32,0,0,0.32
22Month,0,0,0,0,0,0,4.92,0,1.64,0,0,0,0,4.37,0,0,0,0,0,0,0
