stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,93.99,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,4.09,0,0,0,4.09,0,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,111.26,0,0,0,8.56,0,0,0,0,0,0,0,0,0,1.07,5.35,0,8.56,0,0,0,1.07,17.12,22.47,3.21,0,0,6.42,0,0,2.14,2.14,0,0,0,0,0,0
21Day,58.9,1.34,0,1.34,2.68,0,0,0,0,0,0,0,0,0,0,2.68,1.34,20.08,0,0,0,0,4.02,1.34,1.34,0,0,6.69,1.34,0,0,0,0,1.34,1.34,0,0,0
3Month,4.16,12.8,0.64,9.6,0.96,0,0.32,1.92,2.24,0,15.04,2.88,0.64,2.24,8.64,4.16,2.24,17.6,0.64,0.32,0.64,4.8,0.32,0.96,2.24,0.32,0,0.96,0.32,0.32,36.79,4.8,0,0,0.96,0.96,4.48,5.76
22Month,1.09,45.92,1.09,9.84,0.55,1.09,0,3.83,10.93,34.99,327.45,1.64,0.55,5.47,3.28,3.83,7.65,22.41,0,4.92,1.09,0,1.64,0.55,5.47,1.64,0.55,6.01,1.64,0,40.45,9.29,0.55,0,0,1.09,0,2.19
