stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
72hpf,0,0,0,0,0,0,1.07,46,4.28,0,1.07,0
21Day,1.34,0,1.34,0,0,1.34,1.34,22.76,0,0,0,1.34
3Month,0,0,0,0,0,0.32,0.32,0,0,0.32,0,0
22Month,0,0.55,0,0.55,0.55,0,0,0.55,0,0,0,0.55
