stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,1.07,3.21,22.47,1.07,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0
21Day,0,0,0,24.09,2.68,0,4.02,0,0,1.34,0,1.34,0,1.34,1.34,331.96,9.37,0,0,1.34,0,2.68,0,0,0,5.35,0,0,0,0
3Month,0.32,0,0.32,33.59,0,0.32,87.35,1.92,0,15.36,4.48,0,6.08,0.32,1.92,61.11,3.2,0.32,0,3.52,0.96,0.32,0.96,0,0.64,0.64,0.96,0,0.32,1.28
22Month,0,2.73,0.55,27.88,0,0,22.96,4.37,1.09,9.84,2.19,0,1.64,0,0.55,305.03,1.09,0,0.55,8.2,0.55,0,0,1.09,0,0.55,0,0,0,1.09
