stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Oocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,1.34,0,0,0,0,0,0,0,1.34,0,4.02,0,0,0,0,0,0,0,0,0,1.34
3Month,0,0.96,5.12,0,0.32,0.32,1.92,3.52,0,0.32,5.76,0.64,13.76,2.24,3.2,0.32,0.64,0.32,0,3.52,0.32,0.32,1.6,3.84
22Month,0.55,1.09,2.73,0,0,0,2.73,7.11,1.64,14.76,3.28,0.55,9.84,1.09,4.92,1.64,0.55,0,0.55,2.73,0,0.55,0.55,2.73
