stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,4.09,4.09,0,16.35,0,0,0,0
72hpf,0,0,0,0,1.07,0,1.07,2.14,0,0,0,0,0
21Day,5.35,1.34,0,1.34,2.68,0,4.02,0,2.68,4.02,1.34,1.34,0
3Month,0.64,0,0,0,0,0,0,0,0,0,0,0,0.32
22Month,0.55,0,1.64,0,0,0,0,0,0,0,0,0,0
