stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,T_cell
21Day,0,0,2.68,0,0,0,8.03,0,0,1.34,0,1.34
3Month,0,0,0,0.64,0,0,0.32,0,4.16,0,0,0
22Month,0.55,0.55,0,0.55,1.09,1.09,0.55,0.55,0,0,1.09,0
