stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,102.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,0,0,5.35,7.49,0,0,0,0,0,0,0,0,35.3,0,7.49,0,0,0,0,109.12,99.49,712.48,1.07,0,3.21,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,1.6,0.32,19.52,0,0,0.64,17.92,0,37.43,61.11,0.64,12.8,3.2,10.88,2.88,0.64,0,0.64,32.63,0.96,0,446.33,0,0,0,0.96,8,0.32,0,0.64,1.6,5.76
22Month,0,1.09,0,5.47,0,2.73,2.19,53.57,1.64,47.01,2.19,0,5.47,1.09,38.27,11.48,0.55,2.73,2.19,0,1.09,1.09,2141.79,1.09,0.55,0.55,0.55,26.79,21.87,1.09,0,0,1.09
