stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,2.14,1.07,2.14,0,0,1.07,1.07,0,0
21Day,0,0,0,0,0,0,0,0,1.34,1.34,0,0,1.34,0,0,0
3Month,0.64,0.32,0.32,0.32,0.32,0.64,0.96,0.32,0.64,0,0.32,0.96,0,0,58.23,0.32
