stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,4.28,3.21,0,0,0,0,0
21Day,1.34,1.34,1.34,0,0,0,2.68,0,1.34,1.34,2.68,0,0,5.35,2.68,0,2.68,1.34,0,1.34
3Month,0,0,1.28,0.32,0,0.32,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0,0
22Month,0,0,1.09,0,0.55,51.93,0.55,1.09,0,1.09,0.55,1.09,0,0.55,0,0.55,0,0,1.09,0
