stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,8.03,0,0,0,1.34,0,1.34,1.34,1.34,0,0,0,0,1.34,0,2.68,2.68,0,5.35,0,0
3Month,2.88,0.32,0.64,0,8.32,1.92,8.32,0.32,0.32,0.96,0.32,0.64,1.92,0.32,0,22.72,0,0.96,28.48,11.52,0.32
22Month,1.64,0,0,0.55,19.68,0,4.92,0,0,1.64,0,0,0,0.55,0.55,4.92,0,0,3.28,0,0
