stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,20.43,0,0,0,4.09,4.09,65.38,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,6.42,4.28,0,0,0,0,0,0,0,0,54.56,6.42,1.07,8.56,0,1.07,0,0,19.26,21.4,0,0,5.35,0,0,2.14,0,0,0
21Day,2.68,1.34,0,17.4,2.68,1.34,1.34,0,0,0,0,1.34,0,25.43,4.02,72.28,13.39,0,0,8.03,0,12.05,13.39,0,0,12.05,2.68,0,0,0,0,2.68
3Month,0,0.96,0.64,9.92,0,0,1.6,8.32,0,19.2,2.24,0.32,1.92,1.28,2.56,22.72,5.12,0.32,0,0,0.64,0,0,0.64,0.32,3.2,0.32,0.64,0,1.28,0.64,0.32
22Month,0,1.09,0,8.2,0,0,2.19,1.09,0.55,19.68,1.64,0,1.09,1.09,2.19,7.65,5.47,0,0.55,0.55,0,0.55,0,0,0,0,0.55,0.55,0,0,0,1.64
