stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,4.09,0
72hpf,0,0,1.07,0,37.44,26.74,0
21Day,0,0,0,0,8.03,2.68,1.34
3Month,0.32,0,0,0,0,0,0
22Month,2.19,0.55,0,0.55,0,0,0
