stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,12.26,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,0,39.58,11.77,9.63,0,0,0,0,0,8.56,23.54,0,31.02,1.07,5.35,714.62,31.02,1.07,2.14,16.05,0,0,4.28,1.07,0,14.98,0
21Day,8.03,6.69,1.34,53.54,16.06,29.45,1.34,1.34,0,2.68,4.02,6.69,25.43,8.03,65.59,1.34,1.34,617.06,16.06,1.34,12.05,17.4,10.71,0,14.72,6.69,2.68,0,0
3Month,0,0,0,1.92,0.96,0,0,0.32,1.6,0,0,3.52,0.32,0,0.96,0,0,1.28,0,0.32,0,0,0,8.32,0.32,0,0,0.32,2.24
22Month,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
