stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,6.69,0,0,0,0,0,0,0,1.34,13.39,0,0,0,0,0,0
3Month,1.92,0,0,0,0.32,0.32,0.32,0.32,0.64,1.28,0.32,0,0,0,0.32,0
22Month,1.64,0.55,1.09,0.55,11.48,0,2.73,0,0.55,1.64,1.09,0,0,0.55,0.55,0.55
