stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,16.35,0,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0
72hpf,20.33,0,0,1.07,83.44,7.49,0,0,0,0,1.07,0,0,0,0,8.56,0,20.33,0,0,0,0,22.47,10.7,0,1.07,5.35,0,0,0,0,0,0
21Day,18.74,0,1.34,8.03,28.11,0,0,1.34,1.34,0,0,0,1.34,0,0,5.35,1.34,6.69,0,1.34,4.02,0,10.71,6.69,0,2.68,4.02,2.68,0,1.34,0,0,0
3Month,0.64,0.32,0,8.96,25.92,0,0.32,0.32,0,0.32,46.39,0.96,0,1.6,2.88,3.84,1.28,11.52,0.64,0,1.28,1.28,0.96,0.32,3.52,2.88,0,2.24,39.03,0.64,0,4.48,0.96
22Month,0,3.28,0.55,16.95,20.77,0,0.55,0.55,1.09,0.55,39.91,0,1.09,2.19,0,2.19,0.55,18.59,0,0.55,0,0,1.64,0,7.11,0.55,0,0,15.31,1.64,0.55,0,0.55
