stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,1.07,9.63,1.07,0,0,0,0,0,0
21Day,0,1.34,4.02,1.34,0,2.68,0,0,0,1.34,1.34,1.34,1.34,9.37,8.03,0,1.34,0,6.69,5.35,1.34,0,1.34,0,0,1.34
3Month,0.96,0,3.52,0.32,0.96,1.92,0,5.44,1.28,0.64,3.2,0,0.96,1.92,0.32,0.32,0.64,1.28,0,0,0,0.32,0,0,0.64,2.56
22Month,0,0.55,3.28,0.55,0.55,2.73,0.55,13.67,0,0,6.56,1.09,0,2.73,1.09,0,0,0,0,0,0,0,0,0.55,0,0.55
