stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,8.17,0,0,8.17,0,0,12.26,0
72hpf,0,0,0,0,1.07,1.07,1.07,0,0
21Day,1.34,0,0,1.34,0,0,1.34,0,1.34
3Month,0,0,0.96,0,0,0,0,0,0
22Month,0,0,1.09,0,0,0,0,0,0
