stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,4.09,0,0,0,0,118.51,4.09,0,0,0,0
72hpf,2.14,0,0,2.14,1.07,0,0,2.14,0,0,1.07,22.47,28.88,0,3.21,1.07,1.07,0
21Day,0,1.34,0,1.34,1.34,2.68,0,0,2.68,4.02,0,13.39,16.06,2.68,0,0,0,0
3Month,0,0,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0.32
