stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,4.09,429.07,24.52,0,0,0,0,4.09,77.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,7.49,0,0,1.07,0,0,7.49,0,0,0,0,10.7,0,1.07,6.42,28.88,7.49,0,0,0,0,12.84,19.26,11.77,2.14,0,6.42,1.07,0,1.07,2.14,0,0,0,0,0,0
21Day,8.03,1.34,0,32.12,20.08,0,18.74,0,1.34,16.06,0,0,4.02,10.71,437.7,1.34,2.68,10.71,70.94,32.12,0,0,16.06,0,33.46,26.77,10.71,1.34,0,14.72,8.03,0,2.68,4.02,1.34,8.03,1.34,0,0,60.23
3Month,0.32,4.16,1.6,41.91,0,1.28,2.24,0.64,9.28,155.5,0,0,22.4,270.36,55.03,10.88,5.76,7.68,199.33,11.2,2.56,0,3.2,1.6,0.96,2.56,9.92,0.64,0,0.32,4.16,0.64,6.08,0.96,0,0,0,2.88,6.08,215.65
22Month,1.64,5.47,2.19,22.41,0,2.73,1.09,0,6.56,594.76,15.31,0,65.6,159.62,46.47,8.2,4.37,1.64,219.76,14.76,0,1.64,4.37,0,0.55,0.55,26.24,4.37,1.09,0.55,1.09,0,19.13,2.19,2.73,0,0,0,0,164.54
