stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,4.28,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,1.07,1.07,0,40.65,0,0,0,0,0
21Day,1.34,0,0,182.04,1.34,2.68,0,0,0,0,0,0,0,1.34,8.03,20.08,1.34,18.74,0,0,0,9.37,4.02,1.34,0,46.85,1.34,0,0,0,1.34
3Month,0.32,0.32,0.96,286.99,0.64,0,0.96,0.32,0.64,0.64,5.76,9.28,3.2,7.36,13.12,52.47,3.52,22.4,6.08,2.56,0.96,0.96,0,0.96,0.32,62.39,3.52,43.83,9.28,32.31,2.24
22Month,0,0,0,88.01,0,0,0,0,0,0,1.09,7.11,0,0.55,3.28,4.37,1.64,1.64,0,3.83,0,0,0,0.55,0,6.01,0,4.37,1.09,0.55,0
