stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,10.7,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,14.98,0,0,21.4,0,12.84,6.42,0,2.14,0,0,0,0,0,0,0,0,0
21Day,16.06,0,1.34,4.02,0,2.68,0,0,0,0,0,2.68,0,0,0,0,56.22,0,0,171.33,0,12.05,4.02,0,4.02,1.34,0,0,0,1.34,1.34,0,0,1.34
3Month,0.32,0.32,0.96,24.96,0.32,0,0,0.96,0,3.2,1.28,0,8,0.32,0.96,1.92,55.99,0.96,0,52.79,0.32,0.32,0.32,0.64,0,0.96,3.84,0.32,0,0,3.2,0.64,4.16,0.64
22Month,0.55,1.64,0.55,10.93,0.55,0,0.55,1.64,1.64,9.29,0,0,2.19,0,0.55,0.55,44.28,0,0.55,48.11,0,0.55,0,0,0,0,6.01,2.19,0.55,0,9.84,0.55,0,1.09
