stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,0,0,1.07,0,2.14,1.07,0
21Day,1.34,0,0,1.34,0,2.68,1.34
22Month,0,0.55,0,0,0,0,0
