stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,8.17,0,0,0,0,4.09,0,4.09,32.69,0,0,0,0,12.26,130.76,4.09,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,9.63,3.21,0,0,0,0,0,0,0,0,0,5.35,6.42,0,6.42,0,0,0,0,46,50.28,7.49,0,0,4.28,1.07,2.14,0,0
21Day,2.68,0,0,18.74,0,2.68,2.68,0,0,0,0,0,0,5.35,0,2.68,4.02,0,4.02,0,0,0,0,6.69,10.71,0,0,0,0,0,1.34,0,0
3Month,0,0.96,0,13.44,0.32,0,0,0.32,0.64,0,0,5.44,1.92,0,2.88,1.6,1.28,1.28,2.88,0.96,0,1.28,0.64,0,0,0,0.32,24.64,0,0,0.32,1.92,0.96
22Month,0,0.55,0.55,5.47,0,0,0,0,2.19,0.55,0,12.03,1.64,0.55,2.19,0,0,0,2.19,0,0.55,0,0,0.55,0,0.55,0,6.56,0.55,0,0,0,0.55
