stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,8.17,12.26,0,0,0,102.16,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,4.28,0,1.07,0,0,9.63,8.56,0,0,0,0,0,0,0,0
21Day,5.35,5.35,1.34,8.03,0,0,0,2.68,0,1.34,0,2.68,1.34,0,10.71,12.05,0,1.34,0,0,0,1.34,0,1.34
3Month,0,0.64,0,0,1.28,0.32,25.92,0,2.24,1.6,0.32,0.64,0.64,0.32,0,0,0.32,0,1.92,2.56,0.64,0,1.92,0.32
22Month,0,0.55,0,0,0,0,3.83,0,2.73,0,0,0.55,0,0,0,0,0.55,0,0,0,0.55,0,0,0
